Key,English,Spanish,French,German,Russian,Japanese,Korean,Portuguese,Vietnamese,Indonesian,ChineseSimplified,ChineseTraditional
NOT_ENOUGH_LIVE,You do not have enough Live!,¡No tienes suficientes vidas!,Tu n'as pas assez de vies !,Sie haben nicht genug Leben!,Тебе не хватает жизней!,ライフが足りません！,라이브가 부족합니다!,Você não tem vidas suficientes!,Bạn không có đủ mạng,Nyawa Anda tidak cukup!,你的直播不足！,您的生命值不足！
MUST_UNLOCK,You must unlock to play this level!,¡Debes desbloquear este nivel para poder jugarlo!,Vous devez déverrouiller pour jouer à ce niveau !,"Sie müssen das Level erst freischalten, bevor Sie es spielen können!","Тебе следует разблокировать, чтобы играть на этом уровне!",このレベルをプレイするにはアンロックが必要です！,이 레벨을 플레이하려면 열어야 합니다!,É preciso desbloquear este nível para jogar!,Bạn phải mở khóa để chơi bài này,Anda harus membuka level ini untuk bisa memainkannya!,必须解锁才能玩这个级别！,您必須解鎖才能玩這個關卡！
NOT_AVAIABLE,This level not available this time!,¡Este nivel no está disponible en este momento!,Ce niveau n'est pas disponible actuellement !,Dieses Level ist noch nicht verfügbar!,Этот уровень недоступен на этот раз!,このレベルは今回はプレイできません！,지금은 이 레벨을 이용할 수 없습니다!,Este nível não está disponível no momento!,Bài hát này hiện tại không có sẵn,Saat ini level ini tidak tersedia!,目前不能玩这个级别！,此關卡目前無法使用！
FAILED_LOAD_FOLDER,Failed to load folder!,¡Error al cargar la carpeta!,Impossible de charger le dossier !,Ordner konnte nicht geladen werden!,Не удалось загрузить папку!,フォルダを読み込めませんでした！,폴더를 로드하지 못했습니다!,Não foi possível carregar a pasta!,Lỗi khi tải thư mục,Gagal memuat folder!,加载文件夹失败！,讀取資料夾失敗！
IMPORT,IMPORT MP3,IMPORTAR MP3,IMPORTER MP3,MP3 IMPORTIEREN,ИМПОРТ MP3,MP3をインポート,MP3 불러오기,IMPORTAR MP3,IMPORT MP3,IMPOR MP3,导入 MP3,匯入 MP3
IMPORT_DES,Are you sure you want to import?,¿Estás seguro de que quieres importar?,Souhaitez-vous vraiment importer ?,Möchten Sie wirklich den Import starten?,"Ты уверен, что хочешь импортировать?",インポートしていいですか？,정말 불러오시겠어요?,Tem certeza de que deseja importar?,Are you sure you want to import?,Anda yakin ingin mengimpor?,你确定要导入吗？,確定要匯入嗎？
FAILED_LOAD_FILE,Failed to load this file!,¡Error al cargar el archivo!,Impossible de charger ce fichier !,Diese Datei konnte nicht geladen werden!,Не удалось загрузить этот файл!,このファイルを読み込めませんでした！,이 파일을 로드하지 못했습니다!,Não foi possível carregar esse arquivo!,Failed to load this file!,Gagal memuat berkas ini!,加载此文件失败！,無法讀取此檔案！
DELETE,DELETE MP3,ELIMINAR MP3,SUPPRIMER MP3,MP3 LÖSCHEN,УДАЛИТЬ MP3,MP3を削除,MP3 삭제,EXCLUIR MP3,DELETE MP3,HAPUS MP3,删除 MP3,刪除 MP3
DELETE_DES,Are you sure you want to delete?,¿Estás seguro de que quieres eliminarlo?,Souhaitez-vous vraiment supprimer ?,Möchten Sie diese Datei wirklich löschen?,"Ты уверен, что хочешь удалить?",消去してもいいですか？,정말 삭제하시겠어요?,Tem certeza de que deseja excluir?,Bạn muốn xóa bài hát này?,Anda yakin ingin menghapus?,你确定要删除吗？,確定要刪除嗎？
InfiniteDes,24h Infinite Lives,Vidas infinitas durante 24 horas,Vies illimitées durant 24 h,24 Stunden lang unendliche Leben,Бесконечные жизни на 24 часа,24時間無限のライフ,24시간 무한 라이브,24 horas de vidas infinitas,24h không giới hạn mạng,Nyawa Tak Terhingga Selama 24 Jam,24 小时无限直播,24 小時無限生命值
VipDes,No pop up ads & infinite lives,Sin anuncios emergentes y vidas infinitas,Pas de publicités pop-up et vies illimitées,Keine Werbe-Pop-Ups und unendliche Leben,Нет всплывающей рекламы и бесконечные жизни,ポップアップ広告なし &無限のライフ,팝업 광고 제거 및 무한 라이브,Sem anúncios e com vidas infinitas,Không quảng cáo và không giới hạn mạng,Tanpa iklan sembulan & nyawa tak terhingga,无弹出广告，无限直播,無彈出廣告 & 無限的生命值
TUT_TITLE,TUTORIALS,TUTORIALES,TUTORIELS,ANLEITUNGEN,ОБУЧЕНИЕ,チュートリアル,튜토리얼,TUTORIAIS,HƯỚNG DẪN,TUTORIAL,教程,教學
TUT_1,Hold & Drag to control,Pulsa y arrastra para controlar,Appuyez et glissez pour contrôler,Zum Steuern halten und ziehen,Удерживай и перетаскивай для управления,長押し&ドラッグで調節,길게 누르고 끌어서 제어,Segure e arraste para controlar,Giữ và vuốt để kiểm soát,Tahan & Seret untuk mengontrol,按住并拖动进行控制,按住並拖曳來控制
TUT_2,Roll to the Ball which has the same color,Rueda hacia la bola,Roulez vers la balle de couleur identique,Rollen Sie zum Ball mit derselben Farbe,"Перекати к шару, который имеет тот же цвет",同じ色のボールに向けて転がそう,같은 색 공에 굴리기,Role até a bola com a mesma cor,Kéo quả bóng tới bóng có cùng màu,Gelindingkan ke Bola berwarna sama,滚动到颜色相同的球上！,朝向相同顏色的球滾動
TUT_3,Collect coins and mystery boxes,con el mismo color,Recueillez des pièces et des boîtes mystères,Sammeln Sie Münzen und geheimnisvolle Kisten,Собирай монеты и таинственные сундуки,コインとミステリーボックスを集めよう,코인과 미스터리 박스 수집,Colete moedas e caixas misteriosas,Sưu tầm vàng và hộp quà bí mật,Kumpulkan koin dan kotak misteri,收集钱币和神秘盒子,收集金幣和神祕箱
TUT_4,Touch screen to continue,Recoge monedas y cajas misteriosas,Touchez l'écran pour continuer,"Berühren Sie den Bildschirm, um fortzufahren","Коснись экрана, чтобы продолжить",スクリーンをタッチして続行,스크린을 터치하여 계속,Toque na tela para continuar,Chạm vào màn hình để chơi tiếp,Sentuh layar untuk melanjutkan,触屏以继续,觸碰畫面以繼續
TutDes_0,Roll to the ball,Pulsa la pantalla para continuar,Roulez vers la balle,"Rollen Sie zum Ball,","Перекати к шару,",同じ色の,공에 굴려보세요,Role até a bola,Kéo quả bóng,Gelindingkan ke bola,滚动到球上,滾向
TutDes_1,Which has the same color!,¡Rueda hacia la bola con el mismo color!,Qui a la même couleur !,der dieselbe Farbe hat!,Который имеет тот же цвет!,ボールに向けて転がそう！,같은 색의 공이어야 해요!,Que tem a mesma cor!,tới bóng có cùng màu,Yang berwarna sama!,要有相同的颜色！,同樣顏色的球！
ACHI_0,Connect Facebook/Google,Conectar con Facebook/Google,Connectez Facebook/Google,Mit Facebook/Google verbinden,Подключи Facebook / Google,Facebook/Googleに接続する,Facebook/Google 연결하기,Conectar-se ao Facebook/Google,Đăng nhập Facebook/Google,Hubungkan Facebook/Google,连接脸书/谷歌,連結 Facebook/Google
ACHI_1,Turn on Notifications,Activar notificaciones,Activez les notifications,Benachrichtigungen anschalten,Включи уведомления,通知をオンにする,알림 켜기,Ativar notificações,Bật thông báo,Nyalakan Notifikasi,打开通知,開啟通知
ACHI_2,Share Song result 3 times,Comparte el resultado de la canción 3 veces,Partagez le résultat de la chanson 3 fois,Teilen Sie das Song-Ergebnis dreimal,Поделись песенным результатом 3 раза,曲の結果を3回シェアする,노래 결과 3번 공유하기,Compartilhe o resultado da música 3 vezes,Chia sẻ kết quả 3 lần,Bagikan hasil Lagu 3 kali,分享 3 次歌曲成绩,分享歌曲結果 3 次
ACHI_3,Rate Us,Valóranos,Évaluez nous,Bewerten Sie uns,Оцени нас,評価する,평가 남기기,Faça uma avaliação,Đánh giá trò chơi,Nilai Kami,评价我们,為我們評分
ACHI_4,Get 500 Scores,Obtén 500 puntuaciones,Obtenez 500 points,Erreichen Sie 500 Punkte,Получи 500 очков,500スコアをゲット,500점 받기,Faça 500 pontos,Đạt 500 điểm,Dapatkan Skor 500,得到 500 分,獲得 500 分
ACHI_5,Get 1000 Scores,Obtén 1000 puntuaciones,Obtenez 1000 points,Erreichen Sie 1000 Punkte,Получи 1000 очков,1000スコアをゲット,"1,000점 받기",Faça 1000 pontos,Đạt 1000 điểm,Dapatkan Skor 1000,得到 1000 分,獲得 1000 分
ACHI_6,Get 1500 Scores,Obtén 1500 puntuaciones,Obtenez 1500 points,Erreichen Sie 1500 Punkte,Получи 1500 очков,1500スコアをゲット,"1,500점 받기",Faça 1500 pontos,Đạt 1500 điểm,Dapatkan Skor 1500,得到 1500 分,獲得 1500 分
ACHI_7,Achieve 3 Stars in a Song,Consigue 3 estrellas en una canción,Atteignez 3 étoiles dans une chanson,Erreichen Sie bei einem Song 3 Sterne,Получи 3 звезды за песню,1曲で星を3つ獲得,1곡에서 별 3개 달성하기,Consiga 3 estrelas em uma música,Đạt 3 sao ở 1 bài hát,Dapatkan 3 Bintang di Satu Lagu,一首歌得到 3 颗星,在一首歌中達成 3 顆星
ACHI_8,Achieve 3 Stars in 5 Songs,Consigue 3 estrellas en 5 canciones,Atteignez 3 étoiles sur 5 chansons,Erreichen Sie bei 5 Songs 3 Sterne,Получи 3 звезды за 5 песен,5曲で星を3つ獲得,5곡에서 별 3개 달성하기,Consiga 3 estrelas em 5 músicas,Đạt 3 sao ở 5 bài hát,Dapatkan 3 Bintang di 5 Lagu,5 首歌得到 3 颗星,在 5 首歌中達成 3 顆星
ACHI_9,Achieve 3 Stars in 10 Songs,Consigue 3 estrellas en 10 canciones,Atteignez 3 étoiles sur 10 chansons,Erreichen Sie bei 10 Songs 3 Sterne,Получи 3 звезды за 10 песен,10曲で星を3つ獲得,10곡에서 별 3개 달성하기,Consiga 3 estrelas em 10 músicas,Đạt 3 sao ở 10 bài hát,Dapatkan 3 Bintang di 10 Lagu,10 首歌得到 3 颗星,在 10 首歌中達成 3 顆星
ACHI_10,Get 10 Stars in total,Obtén 10 estrellas en total,Obtenez 10 étoiles au total,Erreichen Sie insgesamt 10 Sterne,Получи 10 звезд в общей сложности,星を合計10個ゲット,총 별 10개 받기,Consiga 10 estrelas no total,Đạt tất cả 10 sao,Dapatkan total 10 Bintang,总共得到 10 颗星,總計獲得 10 顆星
ACHI_11,Get 25 Stars in total,Obtén 25 estrellas en total,Obtenez 25 étoiles au total,Erreichen Sie insgesamt 25 Sterne,Получи 25 звезд в общей сложности,星を合計25個ゲット,총 별 25개 받기,Consiga 25 estrelas no total,Đạt tất cả 25 sao,Dapatkan total 25 Bintang,总共得到 25 颗星,總計獲得 25 顆星
ACHI_12,Open 1st Mystery Box,Abre la 1.ª caja misteriosa,Ouvrez une première boîte mystère,Öffnen Sie Ihre erste geheimnisvolle Kiste,Открой 1-й тайный сундук,最初のミステリーボックスを開く,첫 미스터리 박스 열기,Abra a primeira caixa misteriosa,Mở hộp quà bí mật đầu tiên,Buka Kotak Misteri Pertama,打开第 1 个神秘盒子,開啟第一個神祕箱
ACHI_13,Open 10 Mystery Boxes,Abre 10 cajas misteriosas,Ouvrez 10 boîtes mystères,Öffnen Sie 10 geheimnisvolle Kisten,Открой 10 тайных сундуков,10個のミステリーボックスを開く,미스터리 박스 10개 열기,Abra 10 caixas misteriosas,Mở 10 hộp quà bí mật,Buka 10 Kotak Misteri,打开 10 个神秘盒子,開啟 10 個神祕箱
ACHI_14,Open 30 Mystery Boxes,Abre 30 cajas misteriosas,Ouvrez 30 boîtes mystères,Öffnen Sie 30 geheimnisvolle Kisten,Открой 30 тайных сундуков,30個のミステリーボックスを開く,미스터리 박스 30개 열기,Abra 30 caixas misteriosas,Mở 30 hộp quà bí mật,Buka 30 Kotak Misteri,打开 30 个神秘盒子,開啟 30 個神祕箱
ACHI_15,Collect 50 Coins in a Song,Reúne 50 monedas en una canción,Récupérez 50 pièces dans une chanson,Sammeln Sie bei einem Song 50 Münzen,Собери 50 монет за песню,1曲でコインを50枚集める,1곡에서 코인 50개 수집하기,Colete 50 moedas em uma música,Nhận 50 vàng trong 1 bài hát,Kumpulkan 50 Koin di Satu Lagu,一首歌收集 50 枚钱币,在一首歌中收集 50 個金幣
ACHI_16,Collect 100 Coins in a Song,Reúne 100 monedas en una canción,Récupérez 100 pièces dans une chanson,Sammeln Sie bei einem Song 100 Münzen,Собери 100 монет за песню,1曲でコインを100枚集める,1곡에서 코인 100개 수집하기,Colete 100 moedas em uma música,Nhận 100 vàng trong 1 bài hát,Kumpulkan 100 Koin di Satu Lagu,一首歌收集 100 枚钱币,在一首歌中收集 100 個金幣
ACHI_17,Collect 150 Coins in a Song,Reúne 150 monedas en una canción,Récupérez 150 pièces dans une chanson,Sammeln Sie bei einem Song 150 Münzen,Собери 150 монет за песню,1曲でコインを150枚集める,1곡에서 코인 150개 수집하기,Colete 150 moedas em uma música,Nhận 150 vàng trong 1 bài hát,Kumpulkan 150 Koin di Satu Lagu,一首歌收集 150 枚钱币,在一首歌中收集 150 個金幣
ACHI_18,Unlock 3 Songs by Coin,Desbloquea 3 canciones con monedas,Débloquez 3 chansons par pièce,Schalten Sie 3 Songs mit Münzen frei,Разблокируй 3 песни за монеты,コインで3曲をアンロック,코인으로 3곡 열기,Desbloquear 3 músicas com moeda,Mua 3 bài hát bằng vàng,Buka 3 Lagu Menggunakan Koin,用钱币解锁 3 首歌,運用金幣解鎖 3 首歌
ACHI_19,Unlock 10 Songs by Coin,Desbloquea 10 canciones con monedas,Débloquez 10 chansons par pièce,Schalten Sie 10 Songs mit Münzen frei,Разблокируй 10 песен за монеты,コインで10曲をアンロック,코인으로 10곡 열기,Desbloquear 10 músicas com moeda,Mua 10 bài hát bằng vàng,Buka 10 Lagu Menggunakan Koin,用钱币解锁 10 首歌,運用金幣解鎖 10 首歌
ACHI_20,Unlock 1st Song by Diamond,Desbloquea la 1.ª canción con diamantes,Débloquez une première chanson par diamant,Schalten Sie den ersten Song mit Diamanten frei,Разблокируй 1-ую песню за алмазы,ダイアモンドで1曲目をアンロック,다이아몬드로 첫 곡 열기,Desbloquear a primeira música com diamante,Mua bài hát thứ 1 bằng kim cương,Buka Lagu Pertama Menggunakan Berlian,用钻石解锁第 1 首歌,運用鑽石解鎖第一首歌
ACHI_21,Unlock 4 Songs by Diamond,Desbloquea 4 canciones con diamantes,Débloquez 4 chansons avec des diamants,Schalten Sie 4 Songs mit Diamanten frei,Разблокируй 4 песни за алмазы,ダイアモンドで4曲をアンロック,다이아몬드로 4곡 열기,Desbloquear 4 músicas com diamante,Mua 4 bài hát bằng kim cương,Buka 4 Lagu Menggunakan Berlian,用钻石解锁 4 首歌,運用鑽石解鎖 4 首歌
ACHI_22,Unlock 3 Songs by Ads,Desbloquea 3 canciones con anuncios,Débloquez 3 chansons avec des publicités,Schalten Sie 3 Songs mit Werbung frei,Разблокируй 3 песни за рекламу,広告で3曲をアンロック,광고로 3곡 열기,Desbloquear 3 músicas com anúncios,Mở 3 bài hát bằng xem quảng cáo,Buka 3 Lagu Menggunakan Iklan,用广告解锁 3 首歌,透過廣告解鎖 3 首歌
ACHI_23,Buy a Ball,Compra una bola,Acheter une balle,Kaufen Sie einen Ball,Купи шар,ボールを買う,공 구매하기,Compre uma bola,Mua 1 mẫu bóng mới,Beli Bola,买一个球,購買一顆球
ACHI_24,Buy a Road,Compra una carretera,Acheter une route,Kaufen Sie eine Strecke,Купи дорогу,道を買う,로드 구매하기,Compre uma estrada,Mua 1 mẫu đường mới,Beli Jalan,买一条路径,購買一條道路
ACHI_25,Revive 10 times,Revive 10 veces,Réanimer 10 fois,Lassen Sie sich 10-mal wiederbeleben,Восстанови 10 раз,10回復活する,10번 부활하기,Reviva 10 vezes,Hồi sinh 10 lần,Bangkitkan 10 kali,重播 10 次,復活 10 次
ACHI_26,Revive 40 times,Revive 40 veces,Réanimer 40 fois,Lassen Sie sich 40-mal wiederbeleben,Восстанови 40 раз,40回復活する,40번 부활하기,Reviva 40 vezes,Hồi sinh 40 lần,Bangkitkan 40 kali,重播 40 次,復活 40 次
ACHI_27,Revive 100 times,Revive 100 veces,Réanimer 100 fois,Lassen Sie sich 100-mal wiederbeleben,Восстанови 100 раз,100回復活する,100번 부활하기,Reviva 100 vezes,Hồi sinh 100 lần,Bangkitkan 100 kali,重播 100 次,復活 100 次
ACHI_28,Get 2 Stars in [Jingle Bells],Obtén 2 estrellas en [Jingle Bells],Obtenir 2 étoiles dans [Jingle Bells],Erreichen Sie 2 Sterne bei [Jingle Bells],Получи 2 звезды за [Jingle Bells],[Jingle Bells]で星を2つゲット,[Jingle Bells]에서 별 2개 받기,Ganhe 2 estrelas em [Jingle Bells],Đạt 2 sao ở bài [Jingle Bells],Dapatkan 2 Bintang di [Jingle Bells],《铃儿响叮当》获 2 颗星,在 [耶誕鈴聲] 中獲得 2 顆星
ACHI_29,Get 3 Stars in [Jingle Bells],Obtén 3 estrellas en [Jingle Bells],Obtenir 3 étoiles dans [Jingle Bells],Erreichen Sie 3 Sterne bei [Jingle Bells],Получи 3 звезды за [Jingle Bells],[Jingle Bells]で星を3つゲット,[Jingle Bells]에서 별 3개 받기,Ganhe 3 estrelas em [Jingle Bells],Đạt 3 sao ở bài [Jingle Bells],Dapatkan 3 Bintang di [Jingle Bells],《铃儿响叮当》获 3 颗星,在 [耶誕鈴聲] 中獲得 3 顆星
ACHI_30,Play 5 Songs,Escucha 5 canciones,Jouer 5 morceaux,Spielen Sie 5 Songs,Воспроизведи 5 песен,5曲プレイ,5곡 플레이하기,Toque 5 músicas,Chơi 5 bài hát,Mainkan 5 Lagu,播放 5 首歌,玩了 5 首歌曲
ACHI_31,Play 10 Songs,Escucha 10 canciones,Jouer 10 morceaux,Spielen Sie 10 Songs,Воспроизведи 10 песен,10曲プレイ,10곡 플레이하기,Toque 10 músicas,Chơi 10 bài hát,Mainkan 10 Lagu,播放 10 首歌,玩了 10 首歌曲
ACHI_32,Spend 25 Lives,Gasta 25 vidas,Dépenser 25 vies,Geben Sie 25 Leben aus,Потрать 25 жизней,ライフを25個使う,25 라이브 쓰기,Gaste 25 vidas,Chơi 25 mạng,Gunakan 25 Nyawa,花 25 场直播,使用 25 次生命值
ACHI_33,Spend 50 Lives,Gasta 50 vidas,Dépenser 50 vies,Geben Sie 50 Leben aus,Потрать 50 жизней,ライフを50個使う,50 라이브 쓰기,Gaste 50 vidas,Chơi 50 mạng,Gunakan 50 Nyawa,花 50 场直播,使用 50 次生命值
ACHI_34,Spend 100 Lives,Gasta 100 vidas,Dépenser 100 vies,Geben Sie 100 Leben aus,Потрать 100 жизней,ライフを100個使う,100 라이브 쓰기,Gaste 100 vidas,Chơi 100 mạng,Gunakan 100 Nyawa,花 100 场直播,使用 100 次生命值
UNLOCK_BY_ACHI,Unlock by Achievement!,¡Desbloquea con logros!,Débloquer par accomplissement !,Schalten Sie etwas durch eine Errungenschaft frei!,Разблокируй за достижение!,実績でアンロック！,업적으로 열기,Desbloquear com conquista!,Mở khóa bằng Danh hiệu,Buka menggunakan Pencapaian!,完成即可解锁！,透過達成成就來解鎖！
Play,Play,Juega,Jouer,Spielen,Играть,プレイ,플레이,Jogar,Chơi,Main,播放,遊玩
Try,Try,Prueba,Essayer,Ausprobieren,Попробовать,トライ,체험,Experimentar,Thử,Coba,尝试,試試看
Free,Free,Gratis,Gratuit,Gratis,Бесплатно,無料,무료,Gratuito,Miễn phí,Gratis,免费,免費
PAUSE_DES,DO YOU WANT TO QUIT?,¿QUIERES ABANDONAR?,VOULEZ-VOUS QUITTER ?,MÖCHTEN SIE AUFHÖREN?,ХОЧЕШЬ ВЫЙТИ?,終了しますか？,종료하시겠어요?,VOCÊ DESEJA SAIR?,BẠN CÓ MUỐN THOÁT TRÒ CHƠI?,ANDA INGIN KELUAR?,想退出吗？,要離開嗎？
PAUSE_GAME,PAUSE GAME,PAUSAR JUEGO,PAUSE,SPIEL PAUSIEREN,ПОСТАВЬ ИГРУ НА ПАУЗУ,ゲームを止める,게임 일시 중지,PAUSAR JOGO,TẠM DỪNG,JEDA GIM,暂停游戏,暫停遊戲
CONTINUE,CONTINUE,CONTINUAR,CONTINUER,FORTFAHREN,ПРОДОЛЖИТЬ,続ける,계속,CONTINUAR,TiẾP TỤC,LANJUTKAN,继续,繼續
TAP_TO_START,TAP TO START,PULSA PARA EMPEZAR,APPUYEZ POUR COMMENCER,ZUM STARTEN TIPPEN,"НАЖМИ, ЧТОБЫ НАЧАТЬ",タップしてスタート,탭하여 시작,TOQUE PARA COMEÇAR,CHẠM ĐỂ BẮT ĐẦU,KETUK UNTUK MULAI,点击开始,點選以開始
